Job ID,Civil Service Title,Agency,Posting Type,Job Category,Salary Range From,Salary Range To
524686,EXECUTIVE AGENCY COUNSEL,HOUSING PRESERVATION & DVLPMNT,External,Legal Affairs,115000.0,125000.0
517820,ASSOCIATE CHEMIST,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",45193.0,77500.0
521966,COMPUTER SPECIALIST (SOFTWARE),DEPT OF YOUTH & COMM DEV SRVS,External,"Technology, Data & Innovation",85371.0,109990.0
466597,COMMUNITY COORDINATOR,DEPARTMENT OF TRANSPORTATION,Internal,"Administration & Human Resources Constituent Services & Community Programs Public Safety, Inspections, & Enforcement Social Services",54100.0,83981.0
526456,STAFF ANALYST,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",62470.0,80008.0
527489,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,External,"Technology, Data & Innovation",15.0,17.5
526657,CERT IT ADMINISTRATOR (DB),CONSUMER AND WORKER PROTECTION,Internal,"Technology, Data & Innovation",92194.0,110000.0
526663,COLLEGE AIDE (ALL CITY DEPTS),DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,15.5,19.9
517341,SENIOR IT ARCHITECT,DEPT OF INFO TECH & TELECOMM,External,"Technology, Data & Innovation",100000.0,177250.0
478739,AGENCY ATTORNEY INTERNE,HUMAN RIGHTS COMMISSION,Internal,Legal Affairs,62397.0,71757.0
486962,COMMUNITY COORDINATOR,DEPT OF DESIGN & CONSTRUCTION,External,Communications & Intergovernmental Affairs,54100.0,83981.0
399955,BOOKKEEPER,PUBLIC ADMINISTRATOR-NEW YORK,Internal,"Finance, Accounting, & Procurement",37243.0,49349.0
524976,SPECIAL INVESTIGATOR,DEPARTMENT OF INVESTIGATION,External,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",80000.0,90000.0
527525,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,External,"Engineering, Architecture, & Planning",15.0,17.5
527388,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,External,"Engineering, Architecture, & Planning",15.0,17.5
527347,ASSISTANT CIVIL ENGINEER,DEPARTMENT OF TRANSPORTATION,Internal,"Engineering, Architecture, & Planning",57078.0,85646.0
508986,COMMUNITY COORDINATOR,DEPT OF YOUTH & COMM DEV SRVS,Internal,"Constituent Services & Community Programs Policy, Research & Analysis",54100.0,83981.0
526009,EXECUTIVE AGENCY COUNSEL,HOUSING PRESERVATION & DVLPMNT,External,Legal Affairs,170000.0,180000.0
521143,CIVIL ENGINEER,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",80557.0,111917.0
527340,PLAN EXAMINER (BLDGS),DEPARTMENT OF BUILDINGS,External,"Engineering, Architecture, & Planning",70341.0,80892.0
509731,INVESTIGATOR (CCRB),CIVILIAN COMPLAINT REVIEW BD,External,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",42293.0,42293.0
465483,PROCUREMENT ANALYST,DEPT OF ENVIRONMENT PROTECTION,External,Constituent Services & Community Programs,50972.0,82730.0
467366,MARINE OILER(FERRY OPERATIONS),DEPARTMENT OF TRANSPORTATION,Internal,"Public Safety, Inspections, & Enforcement",61555.0,61555.0
526953,COMMUNITY ASSOCIATE,NYC HOUSING AUTHORITY,Internal,Administration & Human Resources,38333.0,63794.0
526067,COLLEGE AIDE (ALL CITY DEPTS),CONSUMER AND WORKER PROTECTION,External,Administration & Human Resources,15.5,19.9
525584,POLICE ADMINISTRATIVE AIDE,POLICE DEPARTMENT,Internal,Administration & Human Resources,36390.0,55228.0
474070,CITY RESEARCH SCIENTIST,DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Policy, Research & Analysis",75504.0,93776.0
515156,ECONOMIST,NYC HOUSING AUTHORITY,External,"Policy, Research & Analysis",56013.0,84862.0
469360,EXECUTIVE AGENCY COUNSEL,NYC HOUSING AUTHORITY,Internal,Legal Affairs,58700.0,122000.0
520248,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,Internal,"Finance, Accounting, & Procurement",110000.0,133900.0
528445,RECREATION DIRECTOR,DEPARTMENT OF CORRECTION,Internal,Social Services,41660.0,47909.0
521823,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Communications & Intergovernmental Affairs,36390.0,41848.0
521823,CLERICAL ASSOCIATE,LAW DEPARTMENT,Internal,Communications & Intergovernmental Affairs,36390.0,41848.0
462399,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,Internal,Constituent Services & Community Programs Communications & Intergovernmental Affairs,53057.0,77124.0
516784,ELECTRICIAN,POLICE DEPARTMENT,Internal,Building Operations & Maintenance,440.16,440.16
510376,CONGREG CARE SPEC-ACS(35 HR WK,ADMIN FOR CHILDREN'S SVCS,External,Social Services,42731.0,42731.0
511251,EMERGENCY PREPAREDNESS SPECIAL,OFFICE OF EMERGENCY MANAGEMENT,External,Communications & Intergovernmental Affairs,57500.0,69500.0
485146,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,Internal,"Administration & Human Resources Policy, Research & Analysis",58695.0,89699.0
526165,AGENCY ATTORNEY,DEPARTMENT OF FINANCE,Internal,Legal Affairs,72712.0,75000.0
513845,INTERPRETER/TRANSLATOR,NYC HOUSING AUTHORITY,Internal,Communications & Intergovernmental Affairs,46231.0,69583.0
517575,STAFF ANALYST,DEPT OF DESIGN & CONSTRUCTION,External,Administration & Human Resources,53797.0,73243.0
524839,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,Internal,Constituent Services & Community Programs,54100.0,62215.0
523059,INVESTIGATOR (CCRB),CIVILIAN COMPLAINT REVIEW BD,Internal,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",42293.0,42293.0
479577,IT AUTOMATION AND MONITORING E,DEPARTMENT OF CORRECTION,External,"Technology, Data & Innovation",100000.0,140000.0
520157,PHYSICIAN,NYC POLICE PENSION FUND,External,Health,110428.0,118342.0
502219,ADMINISTRATIVE ENGINEER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",64922.0,173486.0
518499,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,External,"Finance, Accounting, & Procurement Policy, Research & Analysis",65604.0,73806.0
465100,CITY RESEARCH SCIENTIST,POLICE DEPARTMENT,Internal,"Policy, Research & Analysis",75504.0,86830.0
526992,SENIOR STATIONARY ENGINEER (EL,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",150858.0,150858.0
527305,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",15.0,17.5
505781,BUDGET ANALYST (OMB),OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",51550.0,73806.0
471796,INVESTIGATOR (EMPLOYEE DISCIPL,DEPARTMENT OF TRANSPORTATION,External,Administration & Human Resources,42304.0,64693.0
467646,CYBER SECURITY ANALYST,DEPT OF ENVIRONMENT PROTECTION,Internal,"Technology, Data & Innovation",78795.0,113300.0
505311,ASSOCIATE URBAN DESIGNER,DEPARTMENT OF TRANSPORTATION,Internal,"Engineering, Architecture, & Planning",67757.0,98128.0
524028,ADMINISTRATIVE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",72038.0,192152.0
485090,WATERSHED MAINTAINER,DEPT OF ENVIRONMENT PROTECTION,Internal,Building Operations & Maintenance,41033.0,60017.0
473864,AGENCY ATTORNEY,ADMIN FOR CHILDREN'S SVCS,Internal,Legal Affairs Social Services,79620.0,91563.0
518572,RESEARCH PROJECTS COOR(MA)-MGR,MAYORS OFFICE OF CONTRACT SVCS,External,"Technology, Data & Innovation",70000.0,105000.0
524015,ADMINISTRATIVE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",72038.0,192152.0
519527,RESEARCH PROJECTS COOR(MA)-MGR,MAYORS OFFICE OF CONTRACT SVCS,External,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis",85000.0,91000.0
525249,ADMINISTRATIVE ENGINEER,DEPT OF PARKS & RECREATION,Internal,"Engineering, Architecture, & Planning",142000.0,142000.0
525249,ADMINISTRATIVE ENGINEER,DEPT OF PARKS & RECREATION,Internal,"Engineering, Architecture, & Planning",142000.0,142000.0
371590,COMPUTER ASSOC (SOFTWARE),LAW DEPARTMENT,Internal,"Technology, Data & Innovation",64657.0,89634.0
511705,ADMIN COMMUNITY RELATIONS SPEC,NYC HOUSING AUTHORITY,External,"Public Safety, Inspections, & Enforcement",64749.0,134280.0
519980,AGENCY ATTORNEY,NYC HOUSING AUTHORITY,External,Legal Affairs,91563.0,94500.0
517032,COMPUTER SPECIALIST (SOFTWARE),DEPT OF DESIGN & CONSTRUCTION,External,"Technology, Data & Innovation",98901.0,136951.0
490076,SENIOR MENTAL HEALTH WORKER,DEPARTMENT OF PROBATION,Internal,Social Services,35580.0,47719.0
521553,COMMUNITY COORDINATOR,DEPARTMENT OF CITY PLANNING,Internal,Constituent Services & Community Programs,54100.0,65000.0
519169,COMPUTER SYSTEMS MANAGER,OFFICE OF THE COMPTROLLER,Internal,"Technology, Data & Innovation",100000.0,120000.0
505194,CERT IT DEVELOPER (APP),LAW DEPARTMENT,Internal,"Technology, Data & Innovation Legal Affairs",92194.0,106023.0
526136,CIVIL ENGINEER,DEPT OF PARKS & RECREATION,Internal,"Engineering, Architecture, & Planning",103631.0,122168.0
526136,CIVIL ENGINEER,DEPT OF PARKS & RECREATION,Internal,"Engineering, Architecture, & Planning",103631.0,122168.0
521801,EXECUTIVE AGENCY COUNSEL,ADMIN TRIALS AND HEARINGS,Internal,Legal Affairs,115000.0,120000.0
378703,CERTIFIED IT ADMINISTRATOR (LA,NYC EMPLOYEES RETIREMENT SYS,Internal,"Technology, Data & Innovation",82884.0,116391.0
526953,COMMUNITY ASSOCIATE,NYC HOUSING AUTHORITY,External,Administration & Human Resources,38333.0,63794.0
460190,COMMUNITY COORDINATOR,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Constituent Services & Community Programs Health,54100.0,62215.0
462030,TRANSPORTATION SPECIALIST,DEPARTMENT OF TRANSPORTATION,External,"Policy, Research & Analysis",57078.0,85646.0
523096,CONFIDENTIAL INVESTIGATOR,DEPARTMENT OF INVESTIGATION,External,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",50000.0,55000.0
520005,COMPUTER ASSOC (TECH SUPP),ADMIN TRIALS AND HEARINGS,External,"Technology, Data & Innovation",51345.0,74762.0
525838,COLLEGE AIDE (ALL CITY DEPTS),DEPT OF HEALTH/MENTAL HYGIENE,External,Health,15.5,16.0
509260,CERTIFIED IT ADMINISTRATOR (LA,DEPARTMENT OF SANITATION,External,"Technology, Data & Innovation",98901.0,149277.0
511460,ADMINISTRATIVE STAFF ANALYST (,DEPARTMENT OF CORRECTION,Internal,Administration & Human Resources,115000.0,125000.0
520987,PROGRAM OFFICER (DEPT FOR THE,DEPARTMENT FOR THE AGING,Internal,Communications & Intergovernmental Affairs Health Social Services,56845.0,65372.0
526991,ASSISTANT DISTRICT MANAGER (CO,MANHATTAN COMMUNITY BOARD #3,Internal,Constituent Services & Community Programs,50000.0,55000.0
495965,RUBBER TIRE REPAIRER,FIRE DEPARTMENT,External,Building Operations & Maintenance,240.8,240.8
361229,COMPUTER SYSTEMS MANAGER,BUSINESS INTEGRITY COMMISSION,External,"Technology, Data & Innovation",54643.0,85000.0
521797,IT PROJECT SPECIALIST,TAXI & LIMOUSINE COMMISSION,Internal,"Technology, Data & Innovation",75000.0,135000.0
521124,ADM CONSTRUCTION PRJ MGR-NM,DEPT OF DESIGN & CONSTRUCTION,Internal,"Engineering, Architecture, & Planning",53702.0,97250.0
518343,ADMINISTRATIVE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",72038.0,192152.0
510381,BUDGET ANALYST (OMB)-MANAGERIA,OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement Policy, Research & Analysis",222924.0,222924.0
522927,CONFIDENTIAL INVESTIGATOR,DEPARTMENT OF INVESTIGATION,Internal,"Public Safety, Inspections, & Enforcement",50000.0,50000.0
525513,COMMUNITY COORDINATOR,HOUSING PRESERVATION & DVLPMNT,External,Constituent Services & Community Programs,54100.0,62215.0
526784,SUMMER COLLEGE INTERN,DEPARTMENT OF CITY PLANNING,External,"Engineering, Architecture, & Planning",17.5,17.5
463846,ADMINISTRATIVE PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",95000.0,108000.0
526670,ASSOCIATE HUMAN RIGHTS SPECIAL,HUMAN RIGHTS COMMISSION,External,Legal Affairs,58449.0,67216.0
523142,ADM MANAGER-NON-MGRL FRM M1/M2,DEPT OF ENVIRONMENT PROTECTION,External,"Finance, Accounting, & Procurement",74730.0,161534.0
524032,ADMINISTRATIVE CONSTRUCTION PR,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",72038.0,192152.0
526701,ASSOCIATE HOUSING DEVELOPMENT,NYC HOUSING AUTHORITY,External,"Engineering, Architecture, & Planning Policy, Research & Analysis",74650.0,109409.0
500542,ADM ENGINEER (NON MGRL),DEPT OF ENVIRONMENT PROTECTION,External,"Public Safety, Inspections, & Enforcement",53702.0,93838.0
527514,SUMMER COLLEGE INTERN,DEPARTMENT OF BUILDINGS,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis Public Safety, Inspections, & Enforcement",15.0,17.5
523499,INVESTMENT MANAGER (COMPTROLLE,OFFICE OF THE COMPTROLLER,External,"Finance, Accounting, & Procurement",110000.0,133900.0
528522,COMPUTER SYSTEMS MANAGER,HRA/DEPT OF SOCIAL SERVICES,Internal,"Technology, Data & Innovation Social Services",58700.0,121000.0
526163,CARETAKER (HA),NYC HOUSING AUTHORITY,Internal,Building Operations & Maintenance,31836.0,46278.0
525895,SENIOR POLICE ADMINISTRATIVE A,POLICE DEPARTMENT,Internal,Administration & Human Resources,43929.0,57093.0
442498,ADMINISTRATIVE STAFF ANALYST (,NYC HOUSING AUTHORITY,Internal,"Policy, Research & Analysis",60435.0,161497.0
497044,EMERGENCY PREPAREDNESS SPECIAL,OFFICE OF EMERGENCY MANAGEMENT,Internal,"Technology, Data & Innovation",60000.0,76000.0
524259,CITY PARK WORKER,DEPT OF PARKS & RECREATION,Internal,Building Operations & Maintenance,16.6264,16.6264
524259,CITY PARK WORKER,DEPT OF PARKS & RECREATION,Internal,Building Operations & Maintenance,16.6264,16.6264
510647,ARCHITECT,DEPT OF CITYWIDE ADMIN SVCS,External,"Engineering, Architecture, & Planning",90114.0,100000.0
459608,ADMINISTRATIVE RETIREMENT BENE,NYC EMPLOYEES RETIREMENT SYS,External,Administration & Human Resources,88936.0,223761.0
523652,ADM MANAGER-NON-MGRL FRM M1/M2,DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health,60718.0,80000.0
484611,MECHANICAL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",90114.0,122168.0
469115,COMPUTER SYSTEMS MANAGER,FINANCIAL INFO SVCS AGENCY,Internal,"Technology, Data & Innovation",72038.0,160000.0
519432,COMPUTER SPECIALIST (SOFTWARE),HOUSING PRESERVATION & DVLPMNT,Internal,"Technology, Data & Innovation",85371.0,98177.0
526393,DEPUTY EXECUTIVE DIRECTOR (BOA,BOARD OF CORRECTION,External,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",140000.0,150000.0
527756,ADMINISTRATIVE HOUSING SUPERIN,NYC HOUSING AUTHORITY,Internal,Administration & Human Resources Building Operations & Maintenance,58700.0,161534.0
523649,COLLEGE AIDE (ALL CITY DEPTS),DEPARTMENT OF SANITATION,Internal,Administration & Human Resources,15.5,19.9
515909,AGENCY ATTORNEY,DEPT OF ENVIRONMENT PROTECTION,External,Legal Affairs,71423.0,90351.0
426527,STAFF ANALYST,DEPARTMENT OF CORRECTION,Internal,Administration & Human Resources,50078.0,57590.0
520007,SUMMER GRADUATE INTERN,OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement",18.0,18.0
527292,COMMUNITY ASSOCIATE,DISTRICT ATTORNEY KINGS COUNTY,External,Legal Affairs,44083.0,44083.0
496389,COMMUNITY COORDINATOR,HUMAN RIGHTS COMMISSION,External,Communications & Intergovernmental Affairs,70000.0,83981.0
408527,STAFF ANALYST,LAW DEPARTMENT,Internal,"Technology, Data & Innovation Legal Affairs",50078.0,57590.0
511252,STAFF ANALYST,DEPARTMENT OF TRANSPORTATION,External,"Policy, Research & Analysis",53797.0,73243.0
520633,INVESTIGATOR (CCRB),CIVILIAN COMPLAINT REVIEW BD,External,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",60213.0,69245.0
524686,EXECUTIVE AGENCY COUNSEL,HOUSING PRESERVATION & DVLPMNT,Internal,Legal Affairs,115000.0,125000.0
516687,ADM PROC ANAL-NM FRM M1-3,DEPT OF ENVIRONMENT PROTECTION,External,"Finance, Accounting, & Procurement",65232.0,151810.0
467718,CYBER SECURITY ANALYST,DEPT OF ENVIRONMENT PROTECTION,External,"Technology, Data & Innovation",78795.0,113300.0
508500,ADMINISTRATIVE  PROGRAM OFFICE,DEPARTMENT FOR THE AGING,Internal,"Constituent Services & Community Programs Finance, Accounting, & Procurement Social Services",110000.0,120000.0
518846,DIRECTOR OF  INVESTMENTS (COMP,OFFICE OF THE COMPTROLLER,External,"Finance, Accounting, & Procurement",250000.0,265000.0
484984,IT PROJECT SPECIALIST,FINANCIAL INFO SVCS AGENCY,External,"Technology, Data & Innovation",75000.0,110000.0
527986,IT SECURITY SPECIALIST,OFFICE OF THE COMPTROLLER,External,"Technology, Data & Innovation",75000.0,90000.0
526758,EXECUTIVE AGENCY COUNSEL,DEPARTMENT OF CORRECTION,Internal,Legal Affairs,185000.0,200000.0
527059,EXECUTIVE PROGRAM SPECIALIST (,DEPT OF DESIGN & CONSTRUCTION,External,Communications & Intergovernmental Affairs,80931.0,208826.0
524240,PRINCIPAL ADMINISTRATIVE ASSOC,POLICE DEPARTMENT,Internal,Administration & Human Resources,47418.0,69462.0
482129,ECONOMIST,NYC HOUSING AUTHORITY,External,"Policy, Research & Analysis",59422.0,92758.0
510194,ESTIMATOR (GENERAL CONSTRUCTIO,NYC HOUSING AUTHORITY,External,"Finance, Accounting, & Procurement",67757.0,98128.0
513659,EXECUTIVE AGENCY COUNSEL,HUMAN RIGHTS COMMISSION,External,Legal Affairs,95000.0,95000.0
504977,STATISTICIAN,TAXI & LIMOUSINE COMMISSION,Internal,"Policy, Research & Analysis",50291.0,75000.0
484234,ASSISTANT CIVIL ENGINEER,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning",57078.0,65640.0
522210,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",15.0,15.0
494592,CITY VETERINARIAN (PART-TIME),DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Public Safety, Inspections, & Enforcement",60.54,64.87
517806,QUALITY ASSURANCE SPECIALIST (,NYC HOUSING AUTHORITY,External,"Public Safety, Inspections, & Enforcement",45137.0,64043.0
347238,INVESTIGATOR TRAINEE (PYRL NOT,POLICE DEPARTMENT,Internal,"Administration & Human Resources Public Safety, Inspections, & Enforcement",30028.0,42505.0
465329,AGENCY ATTORNEY,DEPARTMENT OF TRANSPORTATION,Internal,Legal Affairs,71423.0,107032.0
519107,ADMINISTRATIVE RETIREMENT BENE,TEACHERS RETIREMENT SYSTEM,Internal,"Finance, Accounting, & Procurement",72038.0,140000.0
522202,EMERGENCY PREPAREDNESS SPECIAL,OFFICE OF EMERGENCY MANAGEMENT,Internal,Administration & Human Resources,57500.0,64000.0
522127,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,External,"Engineering, Architecture, & Planning Health",15.0,15.0
526293,COMPUTER SPECIALIST (SOFTWARE),DEPT OF ENVIRONMENT PROTECTION,External,"Technology, Data & Innovation",92194.0,119610.0
517744,CIVIL ENGINEERING INTERN,DEPT OF DESIGN & CONSTRUCTION,External,"Engineering, Architecture, & Planning",51413.0,62260.0
518734,ASSISTANT CORPORATION COUNSEL,LAW DEPARTMENT,External,Legal Affairs,73579.0,76206.0
459731,CITY RESEARCH SCIENTIST,DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Policy, Research & Analysis",75504.0,93776.0
482737,ADMINISTRATIVE ARCHITECT,NYC HOUSING AUTHORITY,Internal,"Engineering, Architecture, & Planning",115000.0,120000.0
525134,CLERICAL ASSOCIATE,TAXI & LIMOUSINE COMMISSION,External,Administration & Human Resources,40017.0,62820.0
468572,CITY RESEARCH SCIENTIST,DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Policy, Research & Analysis",84468.0,104909.0
522051,ASSOCIATE CONTRACT SPECIALIST,DEPT OF YOUTH & COMM DEV SRVS,Internal,"Finance, Accounting, & Procurement",60193.0,72000.0
519993,SUMMER COLLEGE INTERN,OFFICE OF MANAGEMENT & BUDGET,Internal,"Finance, Accounting, & Procurement",15.75,15.75
521755,COMMUNITY COORDINATOR,DEPT OF YOUTH & COMM DEV SRVS,Internal,Constituent Services & Community Programs,54100.0,69222.0
515949,SUMMER COLLEGE INTERN,DEPT OF ENVIRONMENT PROTECTION,Internal,"Engineering, Architecture, & Planning",15.0,15.0
490969,SUPERVISOR II SOCIAL WORK,NYC HOUSING AUTHORITY,External,Constituent Services & Community Programs,66442.0,91234.0
513478,STAFF ANALYST,LAW DEPARTMENT,Internal,"Technology, Data & Innovation",62470.0,80008.0
466861,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,External,"Finance, Accounting, & Procurement",53057.0,77124.0
519146,ADMINISTRATIVE CLAIM EXAMINER,OFFICE OF THE COMPTROLLER,Internal,Legal Affairs,85000.0,95000.0
490549,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,Internal,"Administration & Human Resources Legal Affairs Policy, Research & Analysis",61015.0,67117.0
526295,AGENCY ATTORNEY,OFFICE OF THE COMPTROLLER,External,"Finance, Accounting, & Procurement",80000.0,90000.0
463468,ASSOCIATE PARK SERVICE WORKER,DEPT OF ENVIRONMENT PROTECTION,Internal,Building Operations & Maintenance,21.76,21.76
521222,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,External,Administration & Human Resources,47418.0,69462.0
515091,ASSOCIATE CONTRACT SPECIALIST,DEPT OF YOUTH & COMM DEV SRVS,Internal,"Finance, Accounting, & Procurement",60193.0,72000.0
522621,COMPUTER SPECIALIST (SOFTWARE),HOUSING PRESERVATION & DVLPMNT,Internal,"Technology, Data & Innovation",92194.0,106023.0
526701,ASSOCIATE HOUSING DEVELOPMENT,NYC HOUSING AUTHORITY,Internal,"Engineering, Architecture, & Planning Policy, Research & Analysis",74650.0,109409.0
507340,CITY RESEARCH SCIENTIST,DEPT OF ENVIRONMENT PROTECTION,External,"Policy, Research & Analysis",64140.0,77609.0
509738,CERT IT DEVELOPER (APP),DEPT OF YOUTH & COMM DEV SRVS,Internal,"Technology, Data & Innovation",81951.0,106023.0
465299,AGENCY ATTORNEY,DEPARTMENT OF TRANSPORTATION,External,Legal Affairs,63228.0,94096.0
518341,ADMIN COMMUNITY RELATIONS SPEC,NYC HOUSING AUTHORITY,External,Constituent Services & Community Programs,64749.0,134280.0
526884,CITY RESEARCH SCIENTIST,HRA/DEPT OF SOCIAL SERVICES,Internal,Administration & Human Resources Social Services,94283.0,122290.0
523495,SUMMER GRADUATE INTERN,OFFICE OF MANAGEMENT & BUDGET,Internal,Administration & Human Resources,18.0,18.0
497063,AGENCY ATTORNEY,NYC HOUSING AUTHORITY,Internal,Legal Affairs,79620.0,100000.0
521200,TRANSPORTATION SPECIALIST,DEPARTMENT OF TRANSPORTATION,Internal,"Engineering, Architecture, & Planning",67757.0,80000.0
495425,PRINCIPAL ADMINISTRATIVE ASSOC,DEPT OF ENVIRONMENT PROTECTION,Internal,"Finance, Accounting, & Procurement",53057.0,77124.0
526653,CERT IT DEVELOPER (APP),CONSUMER AND WORKER PROTECTION,External,"Technology, Data & Innovation",92194.0,110000.0
519143,CITY MEDICAL SPECIALIST (PART-,DEPARTMENT OF SANITATION,External,Health,79.23,84.86
510442,CONGREG CARE SPEC-ACS(35 HR WK,ADMIN FOR CHILDREN'S SVCS,External,Social Services,42731.0,47726.0
